Year,LatitudeSnowcrab,LongitudeSnowcrab,ChangeinlatitudeSnowcrab,LatitudeAlaskapollock,LongitudeAlaskapollock,ChangeinlatitudeAlaskapollock,LatitudePacifichalibut,LongitudePacifichalibut,ChangeinlatitudePacifichalibut 
1982,58.62349253,-168.8388524,0,58.14699991,-169.4409429,0,57.66616413,-167.6748501,0
1983,58.47781449,-170.4327565,-10.05178474,57.9085695,-168.892255,-16.45169805,57.94110714,-167.3880987,18.9710678
1984,58.44545155,-170.2799112,-12.28482741,57.86796799,-168.9902303,-19.25320219,57.73301216,-167.0033851,4.612514247
1985,58.57309496,-170.6635252,-3.477432377,57.82071933,-169.8757936,-22.51336021,57.85073809,-167.9876815,12.73560322
1986,58.41773784,-169.7747033,-14.19707308,57.9327737,-170.047029,-14.78160863,57.81981992,-168.5263564,10.60225001
1987,58.66144337,-171.1668152,2.618608401,58.19732675,-171.015706,3.472552064,57.82305399,-168.8214048,10.82540096
1988,58.44968793,-168.7690408,-11.99251729,58.27927157,-171.6032298,9.126744978,57.81025052,-168.6511316,9.941960997
1989,58.39864429,-170.5182727,-15.51452855,58.20636426,-171.1105202,4.096140401,57.84157801,-169.0188548,12.10355835
1990,58.4573531,-170.5980028,-11.46362051,58.27935033,-172.1000266,9.132179426,57.96166142,-168.7941284,20.38931354
1991,58.56782718,-171.4356202,-3.840908973,57.8742623,-170.2260458,-18.8188948,57.93209608,-167.4399765,18.34930465
1992,58.92341152,-169.9782309,20.69441084,58.08514565,-170.9591327,-4.267943761,57.79213549,-167.7759202,8.692023843
1993,58.82785715,-170.6747609,14.10115908,57.75150501,-168.5996483,-27.28914789,58.21326042,-168.2678194,37.74964406
1994,58.41939216,-168.0899378,-14.08292559,57.64187548,-168.7972387,-34.85358565,57.86852649,-167.8399784,13.96300289
1995,58.59284107,-170.6485652,-2.114950479,57.61025712,-168.653159,-37.03525244,57.96510393,-168.2433149,20.62684619
1996,58.34244173,-170.2056416,-19.39250491,57.75891112,-168.7804411,-26.77812614,58.02212538,-169.1304807,24.56132676
1997,58.44740911,-170.7704793,-12.14975577,58.12967796,-170.1959695,-1.195214247,57.83949176,-168.2592588,11.95960666
1998,58.63948826,-171.2056548,1.103705557,58.20097956,-168.7913617,3.724595926,58.0286801,-169.2054994,25.01360215
1999,58.52950253,-170.9477559,-6.48530983,58.45970569,-172.164627,21.57669918,58.01262612,-169.3138768,23.90587779
2000,58.85459775,-172.2366934,15.94626077,58.18854202,-170.2806702,2.866405585,58.15113979,-169.5075284,33.46332076
2001,59.01619201,-171.8455173,27.0962647,58.24150016,-170.5103987,6.520517598,58.04005799,-168.6653945,25.79867681
2002,59.00227624,-171.7249654,26.13607654,58.28664367,-170.3337693,9.635419454,58.14096107,-168.8648702,32.76098906
2003,58.95956029,-172.3119366,23.18867554,58.03117727,-169.3023185,-7.991762295,58.2133169,-168.8021046,37.7535412
2004,59.002998,-171.8658152,26.18587768,57.87658821,-169.5008551,-18.65840751,58.25845724,-168.7067804,40.86822457
2005,58.94404776,-171.3964184,22.11831096,58.11837037,-170.7818717,-1.975438275,58.1481707,-168.2781439,33.25845377
2006,59.09304395,-171.7589216,32.39904843,57.98008993,-170.5391105,-11.5167884,57.90128952,-167.7822588,16.22365241
2007,58.85880263,-171.2681052,16.23639709,58.05895096,-171.3093139,-6.075377717,58.12096913,-167.4925759,31.38154503
2008,58.86197528,-171.237084,16.45530993,58.26521236,-171.4339132,8.156659096,58.04594158,-167.2889147,26.20464468
2009,58.64525459,-171.3453753,1.50158259,58.32695863,-172.1698094,12.41715158,57.81701218,-167.5789062,10.40851567
2010,58.78831171,-171.5097408,11.37252391,58.32803685,-171.6730539,12.49154893,57.98950631,-166.8794961,22.31061086
2011,58.65686127,-172.570404,2.302443603,58.06131064,-170.882602,-5.91255977,57.94452645,-166.7738097,19.20700057
2012,58.50032244,-172.0422489,-8.498735809,57.9365252,-169.3448762,-14.52275489,57.96698652,-166.8893129,20.75674553
2013,58.25352022,-171.2367035,-25.52808885,58.3017419,-171.2272589,10.6771975,58.05508542,-167.0794916,26.83556925
2014,58.29354023,-170.5654572,-22.76670845,57.98786271,-169.6173006,-10.9804669,58.11817022,-167.260551,31.18842074
2015,58.36506376,-170.5688691,-17.83158511,58.36731893,-170.0237679,15.20201238,58.17093346,-167.9023481,34.82908442
2016,58.67824667,-171.2344891,3.778036127,58.46714102,-169.6651941,22.08973682,58.18440623,-167.7786196,35.75870552
2017,59.27159392,-170.6977433,44.71899616,57.85168948,-168.5872654,-20.37641986,58.11762415,-167.643571,31.15074195
2018,59.27991539,-171.5537343,45.29317734,58.20601237,-169.7993535,4.071860094,57.97316964,-167.7219084,21.18338082
