,Year,C,CSIRO - Lower error bound (inches),c,sea_level
113,1993,6.3,6.04,6.56,6.31
114,1994,6.51,6.25,6.77,6.44
115,1995,6.62,6.36,6.88,6.58
116,1996,6.78,6.52,7.04,6.72
117,1997,7.06,6.8,7.32,6.78
118,1998,6.67,6.4,6.94,6.77
119,1999,7.0,6.74,7.27,6.84
120,2000,7.06,6.79,7.32,6.92
121,2001,7.27,7.01,7.54,7.12
122,2002,7.37,7.1,7.63,7.26
123,2003,7.73,7.46,8.0,7.41
124,2004,7.71,7.44,7.98,7.47
125,2005,7.72,7.45,7.98,7.57
126,2006,7.89,7.62,8.15,7.68
127,2007,7.96,7.68,8.24,7.67
128,2008,8.3,8.04,8.57,7.83
129,2009,8.53,8.26,8.8,7.97
130,2010,8.83,8.56,9.11,8.03
131,2011,8.9,8.6,9.19,7.97
132,2012,9.24,8.92,9.57,8.36
133,2013,8.91,8.56,9.26,8.45
134,2014,,,,8.58
135,2015,,,,8.92
136,2016,,,,9.05
137,2017,,,,9.11
138,2018,,,,9.23
139,2019,,,,9.48
140,2020,,,,9.59
141,2021,,,,9.8
