,SURVEY_YEAR,CPUE,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE
0,1975,1658.0,1.8,5.6
1,1976,1381.0,1.5,4.8
2,1977,1857.0,3.3,9.2
3,1978,1105.0,3.4,6.2
4,1979,691.0,4.0,7.9
5,1980,735.0,2.3499999999999996,4.8
6,1981,583.0,3.9,7.4
7,1982,552.0,2.4,6.2
8,1983,518.0,3.0,8.9
9,1984,554.5,2.1,7.6
10,1985,381.0,2.5,7.3
11,1986,369.5,1.7,6.2
12,1987,603.0,3.4,7.0
13,1988,753.0,1.9,7.0
14,1989,1029.0,2.8,7.1
15,1990,998.0,2.3,7.8
16,1991,956.5,2.6,8.5
17,1992,760.0,1.1,7.2
18,1993,678.0,2.9,7.2
19,1994,677.0,1.8,6.0
20,1995,573.0,1.4,6.5
21,1996,603.0,3.3,7.1
22,1997,528.0,2.4,8.2
23,1998,531.5,3.2,8.0
24,1999,458.0,0.9,4.5
25,2000,421.0,2.1,6.6
26,2001,458.0,2.9,6.3
27,2002,357.0,3.2,7.4
28,2003,396.0,3.9,8.0
29,2004,436.0,3.3,8.7
30,2005,649.0,3.6,7.8
31,2006,554.0,1.9,6.2
32,2007,606.0,1.3,6.3
33,2008,484.0,1.0,4.3
34,2009,454.0,1.0,5.3
35,2010,437.5,1.6,5.8
36,2011,538.0,2.5,5.1
37,2012,554.0,0.4,5.3
38,2013,606.5,1.4,6.1
39,2014,629.0,3.2,8.7
40,2015,431.0,3.7,7.3
41,2016,360.0,4.6,9.5
42,2017,359.0,2.7,8.4
43,2018,461.0,4.1,7.8
